clause,chapter,ko,star,requirement,tracker_status,owner,due,named_evidence,verified_grade_11aug,verified_note_11aug,internal_audit_14aug,internal_audit_note
1.1.1,1,,*,"The senior management shall develop, implement and maintain a corporate policy, which shall include, at a minimum: • food safety, product quality, legality and authenticity • customer focus • food safety culture • sustainability. This corporate policy shall be communicated to all employees and shall",Done,"Tilen Travnik, Luka Sinček",1.4. 2026,PO_Politika_kakovosti,C,Two conflicting live policy versions; the formally numbered one (Izdaja 04) omits food safety culture and sustainability entirely; no departmental objectives for 2025 or 2026,m,"Policy v2 (11.6.2026) not broken down into specific departmental objectives, including food safety culture objectives"
1.1.2,1,,,"All relevant information related to food safety, product quality, legality and authenticity shall be communicated effectively and in a timely manner to the relevant personnel.",Done,Ana Štravs,1.4. 2026,DN27 NAVODILA ZA KOMUNIKACIJO.docx,,,,
1.2.1,1,1,*,The senior management shall ensure that employees are aware of their responsibilities related to food safety and product quality and that mechanisms are implemented to monitor the effectiveness of their operation. Such mechanisms shall be identified and documented.,In progress,Tilen Travnik,1.4. 2026,Zavedanje_zaposlenih_o_varnosti_in_kakovosti,KO-AT-RISK,"Doc thorough, training current to 23.7.2026, but document unapproved (blank signature) and per-employee awareness declarations missing",,
1.2.2,1,,,The senior management shall provide sufficient and appropriate resources to meet the product and process requirements.,In progress,Tilen Travnik,1.4. 2026,Zagotavljanje_virov,,,,
1.2.3,1,,*,"The department responsible for food safety and quality management shall have a direct reporting relationship to the senior management. An organisational chart, showing the structure of the company, shall be documented and maintained.",Done,Lina Petek,1.4. 2026,Responsibility matrix: https://miro.com/app/board/uXjVNZNFoVE=/ Job description / Pravilnik o sistematizaciji: 2026-05 Pravilnik o sistemizaciji delovnih mest,,,,
1.2.4,1,,,The senior management shall ensure that all processes (documented and undocumented) are known by the relevant personnel and are applied consistently. 48 IFS FOOD VERSION 8,In progress,Tilen Travnik,1.4. 2026,IFS_1.2.4_Poznavanje_procesov_JuicyMarbles,D,"Process register cites document codes (SUR-01, SKLAD-01, CLEAN-01, NES-01, ""TECH-XX"") that do not exist in the real numbering; companion checklist all nine steps unticked; doubles as scripted auditor answers - remove from the audit pack",,
1.2.5,1,,*,"The senior management shall maintain a system to ensure that the company is kept informed of all relevant legislation, scientific and technical developments, industry codes of practice, food safety and product quality issues, and that they are aware of factors that can influence food defence and foo",Done,Ana Štravs,1.4. 2026,DN30 Postopek spremljanja relevantnih zahtev in informacij.docx,,,,
1.2.6,1,,*,"The senior management shall ensure that the certification body is informed of any changes that may affect the company’s ability to conform to the certification requirements. This shall include, at a minimum: • any legal entity name change • any production site location change. For the following spec",Done,Ana Štravs,1.4. 2026,DN27 NAVODILA ZA KOMUNIKACIJO.docx,,,,
1.3.1,1,,*,"The senior management shall ensure that the food safety and quality management system is reviewed. This activity shall be planned within a 12-month period and its execution shall not exceed 15 months. Such reviews shall include, at a minimum: • a review of objectives and policies including elements ",In progress,"Tilen Travnik, Luka Sinček",1.7. 2026,IFS_1.3.1_Vodstveni_pregled_JuicyMarbles,MAJOR,No management review has ever been executed. Named evidence is a blank template created 3.7.2026,,
1.3.2,1,,,Actions from the management review shall be aimed at supporting improvement. The management review shall assess follow-up actions from previous management reviews and any change that could affect the food safety and quality management system. The management review shall be fully documented.,Not started,"Ana Štravs, Luka Sinček",1.7. 2026,,,,,
1.3.3,1,,,"The senior management shall identify and review (e.g. by internal audits or on-site inspections) the infrastructure and work environment needed to ensure food safety, product quality, legality and authenticity, at least once within a 12-month period, or whenever significant changes occur. This shall",Needs a review,Maj Hrovat,1.4. 2026,https://docs.google.com/spreadsheets/d/11aLsumqVBjdluJk8rUM0iYMKKEsoLDMXEzmg2Y6Ntt4/edit?pli=1&gid=0#gid=0,D,"Named infrastructure review is the capex spreadsheet; none of the nine required elements assessed. Ceiling condensation (1/2025), suspected Legionella (2/2025), May 2024 UVHVVR ventilation findings unclosed",,
2.1.1.1,2,,,"A procedure shall be documented, implemented and maintained to control documents and their amendments. All documents which are necessary for compliance with food safety, product quality, legality, authenticity and customer requirements shall be available in their latest version. The reason for any a",Done,Ana Štravs,1.4. 2026,DN20 OBVLADOVANJE DOKUMENTOV IN ZAPISOV.docx,,,,
2.1.1.2,2,,,"The food safety and quality management system shall be documented, implemented and maintained and shall be kept in one secure location. This applies to both physical and/or digital documented systems.",Done,Ana Štravs,1.4. 2026,DN20 OBVLADOVANJE DOKUMENTOV IN ZAPISOV.docx,,,,
2.1.1.3,2,,*,"All documents shall be legible, unambiguous and comprehensive. They shall be available to the relevant personnel at all times.",Done,Ana Štravs,1.4. 2026,DN20 OBVLADOVANJE DOKUMENTOV IN ZAPISOV.docx,,,,
2.1.2.1,2,,,"Records and documented information shall be legible, properly completed and genuine. They shall be maintained in a way that subsequent revision or amendment is prohibited. If records are doc- umented electronically, a system shall be maintained to ensure that only authorised personnel have access to",Done,Ana Štravs,1.4. 2026,DN20 OBVLADOVANJE DOKUMENTOV IN ZAPISOV.docx,,,,
2.1.2.2,2,,*,"All records and documented information shall be kept in accordance with legal and customer requirements. If no such requirements are defined, records and documented information shall be kept for a minimum of one year after the shelf life. For products which have no shelf life, the duration of record",Done,Ana Štravs,1.4. 2026,DN20 OBVLADOVANJE DOKUMENTOV IN ZAPISOV.docx,,,,
2.1.2.3,2,,,Records and documented information shall be securely stored and easily accessible. 50 IFS FOOD VERSION 8,Done,Ana Štravs,1.4. 2026,DN20 OBVLADOVANJE DOKUMENTOV IN ZAPISOV.docx,,,,
2.2.1.1,2,,*,"The basis of the company’s food safety management system shall be a fully implemented, systematic and comprehensive HACCP based plan, following the Codex Alimentarius principles, good man- ufacturing practices, good hygiene practices and any legal requirements of the production and destination count",In progress,Eva Grm,1.4. 2026,HS01_HACCP ŠTUDIJA.docx HS05_HACCP.xlsx,,,,
2.2.1.2,2,,*,"The HACCP plan shall cover all raw materials, packaging materials, products or product groups, as well as every process from incoming goods up to the dispatch of finished products, including product development.",Done,Eva Grm,1.4. 2026,HS04_Analiza dejavnikov tveganja.xlsx HS05_HACCP.xlsx HS09_Razvoj in sprememba izdelkov in procesov (v delu),,,,
2.2.1.3,2,,,"The HACCP plan shall be based upon scientific literature or expert advice obtained from other sources, which may include: trade and industry associations, independent experts and authorities. This information shall be maintained in line with any new technical process development.",Done,Eva Grm,1.4. 2026,HS01_HACCP ŠTUDIJA.docx,,,,
2.2.1.4,2,,,"In the event of changes to raw materials, packaging materials, processing methods, infrastructure and/or equipment, the HACCP plan shall be reviewed to ensure that product safety requirements are complied with.",Done,Eva Grm,1.4. 2026,HS01_HACCP ŠTUDIJA.docx HS09_Razvoj in sprememba izdelkov in procesov (v delu),,,,
2.3.1.1,2,,,Assemble HACCP team: The HACCP team shall have the appropriate specific knowledge and expertise and be a multidis- ciplinary team which includes operational staff.,Done,Eva Grm,1.4. 2026,HS02_HACCP TIM.docx,,,,
2.3.1.2,2,,,Those responsible for the development and maintenance of the HACCP plan shall have an internal team leader and shall have received appropriate training in the application of the HACCP principles and specific knowledge of the products and processes.,Done,Eva Grm,1.4. 2026,DN03 V2 in OBR05B PLAN USPOSABLJANJA HS02_HACCP TIM.docx,,,,
2.3.2.1,2,,,"A full description of the product shall be documented and maintained and shall contain all relevant information on product safety, which includes, at a minimum: • composition • physical, organoleptic, chemical and microbiological characteristics • legal requirements for the food safety of the produc",Needs a review,"Ana Štravs, Katarina Valentinčič",1.4. 2026,Thick-Cut Filet Specification Granny's Roast Specification preliminary Whole-Cut Loin Specification Baby Ribs Specification Butcher-Minced Bangers Specification Meaty Meat Pork Specification Meaty Meat Lamb Specification,,,,
2.3.3.1,2,,,"The intended use of the product shall be described in relation to the expected use of the product by the end consumer, taking vulnerable groups of consumers into account.",Done,"Ana Štravs, Katarina Valentinčič",1.4. 2026,Thick-Cut Filet Specification Granny's Roast Specification preliminary Whole-Cut Loin Specification Baby Ribs Specification Butcher-Minced Bangers Specification Meaty Meat Pork Specification Meaty Meat Lamb Specification,,,,
2.3.4.1,2,,,"A flow diagram shall be documented and maintained for each product, or product group, and for all variations of the processes and sub-processes (including rework and reprocessing). The flow diagram shall identify every step and each control measure defined for CCPs and other control measures. It sha",Done,Eva Grm,1.4. 2026,Delovne verzije,,,,
2.3.5.1,2,,,"Representatives of the HACCP team shall verify the flow diagram through on-site verifications, at all operation stages and shifts. Where appropriate, amendments to the diagram shall be made.",Done,Eva Grm,1.4. 2026,"Delovne verzije HS03-V1: Evidenca verifikacij diagramov procesa Zapisnik HACCP sestanka, 10.6.2026 HS-V01-P_Podpisna_lista_-_verifikacija_diagramov_procesa",D,"Current flow diagrams never verified on site; new verification register has one filled row labelled ""PRIMER""; signature list blank",,
2.3.6.1,2,,,"A hazard analysis shall be conducted for all possible and expected physical, chemical (including radiological and allergens) and biological hazards. The analysis shall also include hazards linked to materials in contact with food, packaging materials as well as hazards related to the work environ- m",Done,Eva Grm,1.4. 2026,HS04_Analiza dejavnikov tveganja.xlsx HS07 - Analiza ostalih dejavnikov tveganja Analiza tveganja-Čiščenje,,,,
2.3.7.1,2,,,"Determining whether the step at which a control measure is applied is a CCP in the HACCP system shall be facilitated by using a decision tree or other tool(s), which demonstrates a logical reasoned approach.",Done,Eva Grm,1.4. 2026,HS04_Analiza dejavnikov tveganja.xlsx HS01_HACCP ŠTUDIJA.docx,,,,
2.3.8.1,2,,*,"For each CCP, critical limits shall be defined and validated to identify when a process is out of control.",Done,"Eva Grm, Aleksandra Kadirić",1.4. 2026,HS05_HACCP.xlsx HS06: Plan in porocilo validacije (K)KT (2026),MAJOR,"Metal-detection CCP never validated; OBR47 blank; HS06 change log admits validation ""prej ni bila izvedena"". Pasteurisation validated for Baby Ribs only",,
2.3.9.1,2,2,*,"Specific monitoring procedures in terms of method, frequency of measurement or observation and recording of results, shall be documented, implemented and maintained for each CCP, to detect any loss of control at that CCP. Each defined CCP shall be under control. Monitoring and control of each CCP sh",Done,Eva Grm,1.4. 2026,Home Assistant - HA Processing parameters Zapisi delovnih nalogov - metal detektor,KO-D,"Odoo metal-detector quality point holds acknowledgement-only checks: no measurement, tolerance or lot. No pasteurisation CCP point exists. 4 open 2026 MD failure alerts",,
