retailer,country,query,name,brand,price,currency,price_eur,pack_size_raw,grams,eur_per_kg,eur_per_kg_source,unit_price_raw,category,plant_based,match_terms,url,source,scraped_at
Jumbo,NL,tofu,Jumbo Tofu Naturel 375g,,1.44,EUR,1.44,Jumbo Tofu Naturel 375g,375.0,3.84,pack_size,,tofu_tempeh_seitan,True,tofu,https://www.jumbo.com/producten/jumbo-tofu-naturel-375g-680366STK,adaptive,2026-08-23T22:26:14+00:00
Jumbo,NL,tofu,Jumbo Tofu met Rooksmaak 200g,,1.99,EUR,1.99,Jumbo Tofu met Rooksmaak 200g,200.0,9.95,pack_size,,tofu_tempeh_seitan,True,tofu,https://www.jumbo.com/producten/jumbo-tofu-met-rooksmaak-200g-680369BAK,adaptive,2026-08-23T22:26:14+00:00
Jumbo,NL,tofu,Vivera Zachte Tofu 550 g,,1.99,EUR,1.99,Vivera Zachte Tofu 550 g,550.0,3.618,pack_size,,tofu_tempeh_seitan,True,tofu|vivera,https://www.jumbo.com/producten/vivera-zachte-tofu-550-g-763479TRA,adaptive,2026-08-23T22:26:14+00:00
Jumbo,NL,tofu,Jumbo Tofu Reepjes Asian Style 180g,,2.79,EUR,2.79,Jumbo Tofu Reepjes Asian Style 180g,180.0,15.5,pack_size,,tofu_tempeh_seitan,True,tofu,https://www.jumbo.com/producten/jumbo-tofu-reepjes-asian-style-180g-680368STK,adaptive,2026-08-23T22:26:14+00:00
Jumbo,NL,tofu,Vivera Gerookte Tofu 280 g,,2.69,EUR,2.69,Vivera Gerookte Tofu 280 g,280.0,9.607,pack_size,,tofu_tempeh_seitan,True,tofu|vivera,https://www.jumbo.com/producten/vivera-gerookte-tofu-280-g-763542TRA,adaptive,2026-08-23T22:26:14+00:00
Jumbo,NL,tofu,EastEco Kimbap Fried Tofu 230g,,3.99,EUR,3.99,EastEco Kimbap Fried Tofu 230g,230.0,17.348,pack_size,,tofu_tempeh_seitan,True,tofu,https://www.jumbo.com/producten/easteco-kimbap-fried-tofu-230g-668002DS,adaptive,2026-08-23T22:26:14+00:00
Jumbo,NL,tofu,Jumbo's Verse Maaltijd Tofu Teriyaki 450 g,,5.99,EUR,5.99,Jumbo's Verse Maaltijd Tofu Teriyaki 450 g,450.0,13.311,pack_size,,tofu_tempeh_seitan,True,tofu,https://www.jumbo.com/producten/jumbo-s-verse-maaltijd-tofu-teriyaki-450-g-746318DS,adaptive,2026-08-23T22:26:14+00:00
Jumbo,NL,tofu,Jumbo Tempeh Naturel 395g,,2.29,EUR,2.29,Jumbo Tempeh Naturel 395g,395.0,5.797,pack_size,,tofu_tempeh_seitan,True,tempeh,https://www.jumbo.com/producten/jumbo-tempeh-naturel-395g-680367BAK,adaptive,2026-08-23T22:26:14+00:00
Jumbo,NL,tofu,Vivera Stevige Tofu 280 g,,2.19,EUR,2.19,Vivera Stevige Tofu 280 g,280.0,7.821,pack_size,,tofu_tempeh_seitan,True,tofu|vivera,https://www.jumbo.com/producten/vivera-stevige-tofu-280-g-763544TRA,adaptive,2026-08-23T22:26:14+00:00
Jumbo,NL,tofu,Jumbo Tempeh Reepjes Sweet Chili 180 g,,2.39,EUR,2.39,Jumbo Tempeh Reepjes Sweet Chili 180 g,180.0,13.278,pack_size,,tofu_tempeh_seitan,True,tempeh,https://www.jumbo.com/producten/jumbo-tempeh-reepjes-sweet-chili-180-g-680365BAK,adaptive,2026-08-23T22:26:14+00:00
